timestamp,object_id,size_gb,data_type,reads_last_7d,recency_days,cost_per_gb,latency_requirement_ms,cloud_location,future_tier_label
2025-07-08T00:00:00.000,OBJ_0305,65.1,LOGS,12,0,0.0119,130,us-west-2,WARM
2025-03-09T00:00:00.000,OBJ_1046,145.25,ARCHIVE_DOC,120,0,0.0024,253,us-east-1,HOT
2025-04-10T00:00:00.000,OBJ_1067,311.45,DB_TRANS,28,2,0.0885,12,us-west-2,WARM
2025-01-18T00:00:00.000,OBJ_1494,551.79,DB_TRANS,495,0,0.0628,41,us-east-1,HOT
2025-04-02T00:00:00.000,OBJ_0728,24.3,DB_TRANS,20,0,0.0655,48,us-east-1,WARM
2025-06-09T00:00:00.000,OBJ_0423,234.48,LOGS,9,2,0.0058,80,eu-west-1,WARM
2025-04-16T00:00:00.000,OBJ_0534,20.54,LOGS,55,0,0.0052,63,us-west-2,WARM
2025-03-15T00:00:00.000,OBJ_0368,63.21,GENERAL_USER,102,0,0.022,171,us-west-2,WARM
2025-06-26T00:00:00.000,OBJ_1111,75.65,LOGS,8,0,0.0113,84,ap-southeast-1,WARM
2025-06-05T00:00:00.000,OBJ_0926,23.61,GENERAL_USER,28,0,0.0147,139,us-east-1,COLD
2025-06-03T00:00:00.000,OBJ_0230,18.26,DB_TRANS,212,0,0.034,16,us-west-2,WARM
2025-01-27T00:00:00.000,OBJ_0565,29.6,ARCHIVE_DOC,224,0,0.0057,382,us-east-1,HOT
2025-08-17T00:00:00.000,OBJ_0352,197.65,DB_TRANS,15,0,0.0765,19,eu-west-1,WARM
2025-04-27T00:00:00.000,OBJ_0007,172.63,ARCHIVE_DOC,243,0,0.0065,205,eu-west-1,HOT
2025-04-14T00:00:00.000,OBJ_0622,918.77,LOGS,50,1,0.0198,147,eu-west-1,WARM
2025-05-07T00:00:00.000,OBJ_0562,201.68,GENERAL_USER,17,3,0.0434,137,us-east-1,WARM
2025-05-13T00:00:00.000,OBJ_0448,25.26,LOGS,208,0,0.0058,105,eu-west-1,HOT
2025-06-06T00:00:00.000,OBJ_1106,136.89,LOGS,11,0,0.0067,124,us-east-1,WARM
2025-02-08T00:00:00.000,OBJ_0392,7.54,DB_TRANS,398,0,0.0788,49,us-east-1,HOT
2025-07-08T00:00:00.000,OBJ_0731,12.58,DB_TRANS,14,0,0.0251,49,us-east-1,WARM
2025-04-05T00:00:00.000,OBJ_0764,306.1,DB_TRANS,26,0,0.1119,39,us-east-1,WARM
2025-06-26T00:00:00.000,OBJ_0770,157.85,LOGS,14,3,0.0086,125,us-east-1,WARM
2025-05-18T00:00:00.000,OBJ_1011,73.43,DB_TRANS,13,2,0.08,12,us-west-2,WARM
2025-04-13T00:00:00.000,OBJ_1199,422.51,DB_TRANS,98,0,0.0935,40,eu-west-1,HOT
2025-05-07T00:00:00.000,OBJ_0922,66.65,LOGS,39,0,0.0143,137,ap-southeast-1,WARM
2025-05-15T00:00:00.000,OBJ_1187,38.98,DB_TRANS,12,0,0.119,43,us-east-1,WARM
2025-08-13T00:00:00.000,OBJ_0222,152.84,DB_TRANS,16,2,0.0863,27,eu-west-1,WARM
2025-06-17T00:00:00.000,OBJ_0844,70.08,LOGS,9,0,0.0064,90,ap-southeast-1,WARM
